"Timestamp","If you give your consent to take part please click 'I agree' below","Please enter your Prolific ID","What is your reading level of English?","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:"
"2023/04/05 8:26:50 PM GMT+2","I agree","6155d0cafa46f83b2716f453","Mother tongue","Rebellious, argumentative, college-aged, frustrated, questioning societal norms","Cynical, skeptical, critical, inquisitive, questioning societal norms","Philosophical, introspective, pessimistic, contemplative, imaginative","Open-minded, Globalist, Idealistic, Analytical, Realistic","Critical, Detail-oriented, Pessimistic, Technical, Knowledgeable","Traditional, Practical, Disciplined, Opinionated, Principled","Logical, Reasonable, Tolerant, Balanced, Insightful","trategic, Rational, Nationalist, Defiant, Ambitious","Skeptical, Analytical, Cautious, Inquisitive, Evidence-based","Practical, Utilitarian, Critical, Social-minded, Skeptical"
"2023/04/05 8:34:46 PM GMT+2","I agree","5e42e113c3fc7d1764c724e0","Fluent","young adult, past collage, rebellious","middleaged, well educated, open minded, mature, sociable","open minded, a thinker, imaginative","creative, sociable, propably poor, imaginative","well educated, middle aged, analitical thinker, nerdy","demanding, confident, past middle age, honest","inquisitive, propably religious, honest","meticulous, trustworthy, composed, well educated","middle aged, not gullibe, straigthforward, inquisitive","down-to-earth, sceptical, honest, "
"2023/04/05 8:36:35 PM GMT+2","I agree","60e93f64ec69ecdac3107555","Fluent","younger, liberal, likes to drink","younger, controversial, a social person","emotional, scared, maybe a woman","open minded, considerate, younger person","strategic, smart, mature","sports fan, mid 40s, active","religious, open minded, likes peace","strategic, fair, a younger person","a man, skeptical, mature, social","narrow minded, likes routine, mature"
"2023/04/05 8:41:35 PM GMT+2","I agree","5de5157820c5aa09b7a53b89","Capable","Honest, young, passionate, considerate, thoughtful","optimistic, decisive, naive, considerate, gentle","rational, compassionate, practical, careful, scared","thoughtful, versatile, intuitive, intellectual, modest","diplomatic, honest, optimistic, helpful, observant","funny, sociable, humorous, amusing, amicable","thoughtful, smart, calm, adaptable, considerate","aggressive, anxious, reserved, wild, rational","modest, touchy, versatile, rational, aggressive","communicative, reserved, generous, considerate, gentle"
"2023/04/05 8:53:49 PM GMT+2","I agree","611ed2c05be8517aa0d6076b","Fluent","Disapproving, rebellious, questioning, pragmatic, non-conformist","Skeptical, analytical, realistic, introspective, open-minded","Pessimistic, contemplative, philosophical, fearful, insightful","Global-minded, analytical, realistic, politically-aware, solution-oriented","Analytical, knowledgeable, critical, pessimistic.","Opinionated, focused on practicality, critical.","Open-minded, thoughtful, nuanced, rational","Analytical, knowledgeable, diplomatic, logical","Skeptical, rational, critical, open-minded","Sensible, practical, critical, idealistic, innovative"
"2023/04/05 9:03:43 PM GMT+2","I agree","5f4f3eba2f0d6c195a3cc262","Capable","young, liberal, radical, down-to-earth, ""with new ideas""","middle aged, ""loves politics"", ""loves sociology"", liberal, disappointed","pessimistic, ""slightly depressed"", young, ""pained by life"", ""restless spirit""","peacemaker, politicized, liberal, middle-aged, self-aware","nerdy, young, ""loves research"", boring","awkward, ""loves sports"", bizarre, toxic","humanitarian, irreligious, young, optimistic ","loves geopolitics, ""likes reading"", middle-aged, open-minded","mistrustful, cruel, bizarre","humanitarian, down to earth, young, liberal, fair"
"2023/04/05 9:09:03 PM GMT+2","I agree","612a98181f4b6d1cf01f926c","Fluent"," Young adult, male,energetic,in college,no money","capitalist,money driven,rich,thinker,dreamer","Adult,death,afraid,sick,old","Gullible,American,man, 25 years old,weak","Likes space,old person,has money,well read","Major league baseball fan, thinker,not scared,rich","Love religion, believer, assertive,prayer,happy","Hates america,independent ,thinker,brave,quiet","opinionated,thinker,adult,question everything,assertive","Clever,empathy,passionate,Adult,American"
"2023/04/05 9:18:35 PM GMT+2","I agree","612a98181f4b6d1cf01f926c","Fluent","young adult,stupid,alcoholic,sad,bored","adult,capitalist,likes money,boss,man","Adult,scared,old,thinking about their life,man","Loves America,gullible,weak,man,adult","Likes space,thinker,adult,man, happy","MLB fan,white guy,rich,assertive,angry","loves religion,prayer,adult,woman,assertive","Hates America,independent,adult,rich,man","Boss,independent,rich,adult,assertive","Helpful,thinker,empathy,sweet,adult"
"2023/04/05 9:19:21 PM GMT+2","I agree","60a2dcbec46f3208f0e75edd","Fluent","25 years old guy that does not drink","middle aged person, capitalist","science believer, scared to suffer","rich person, dreamer","NA","addicted to sports person","family person, cultured","middle aged person, cultured","red flag, controling man","no science believer, young person"
"2023/04/05 10:09:22 PM GMT+2","I agree","5eab2dbd0c7a950efa32c3dc","Mother tongue","young student, nonchalant, male, white american","logical, senior aged person, male, english","young adult, uneducated, male, white","middle aged woman, lebanese national","analyst, middle aged man, american, white","passionate, young adult, male, white american","middle aged, muslim, female","American, aged 50's, male, office worker","white male, thirties, british, builder","American, male, late twenties "
